"usaf","wban","station","ctry","st","call","latitude","longitude","elev(m)","begin","end","code","longr","latr","dist","siteAQ"
"080720","99999","PALENCIA-AUTILLA PINO","SP",NA,NA,42,-4.6,860,2017-07-12,2021-01-20,"080720-99999",-0.0802851455917391,0.733038285837618,40.8641202830792,"es1631a"
"081410","99999","VALLADOLID","SP",NA,NA,41.633,-4.75,735,1973-01-01,2021-01-21,"081410-99999",-0.0829031394697306,0.726632927482799,1.41122334887268,"es1632a"
"081400","99999","VALLADOLID","SP",NA,"LEVD",41.706,-4.852,845.8,1973-01-01,2021-01-21,"081400-99999",-0.0846833753067649,0.727907017836755,12.916327929675,"es1632a"
"080720","99999","PALENCIA-AUTILLA PINO","SP",NA,NA,42,-4.6,860,2017-07-12,2021-01-20,"080720-99999",-0.0802851455917391,0.733038285837618,43.908421006506,"es1632a"
"083590","99999","ALICANTE","SP",NA,NA,38.367,-0.5,82,1973-01-01,2021-01-21,"083590-99999",-0.00872664625997165,0.669630474112664,2.58633915938344,"es1635a"
"083600","99999","ALICANTE","SP",NA,"LEAL",38.282,-0.558,43.3,1973-01-01,2021-01-21,"083600-99999",-0.00973893722612836,0.668146944248469,11.4243923201987,"es1635a"
"084330","99999","MURCIA SAN JAVIER","SP",NA,"LELC",37.775,-0.812,3.4,1973-01-01,2021-01-21,"084330-99999",-0.014172073526194,0.659298124940858,71.4809843024893,"es1635a"
"080800","99999","VITORIA","SP",NA,"LEVT",42.883,-2.724,512.7,1973-01-01,2021-01-21,"080800-99999",-0.0475427688243255,0.748449543132728,6.72487265476337,"es1673a"
"080910","99999","JACA","SP",NA,NA,42.567,-3.133,828,1983-06-13,2021-01-20,"080910-99999",-0.0546811654649823,0.742934302696426,49.3058120300299,"es1673a"
"080840","99999","LOGRONO/AGONCILLO","SP",NA,"LELO",42.45,-2.333,363,1973-01-01,2021-01-21,"080840-99999",-0.0407185314490277,0.740892267471593,51.3514175471373,"es1673a"
"080270","99999","SAN SEBASTIAN/IGUELDO","SP",NA,NA,43.3,-2.033,259,1973-01-01,2021-01-21,"080270-99999",-0.0354825436930447,0.755727566113545,2.07135560163817,"es1697a"
"080290","99999","SAN SEBASTIAN","SP",NA,"LESO",43.357,-1.791,4.6,1973-01-01,2021-01-21,"080290-99999",-0.0312588469032184,0.756722403787181,18.5564587966287,"es1697a"
"076000","99999","SOCOA","FR",NA,NA,43.4,-1.683,25,1984-06-16,2021-01-21,"076000-99999",-0.0293738913110646,0.757472895365539,28.360862659443,"es1697a"
"082860","99999","CASTELLON-ALMAZORA","SP",NA,NA,39.95,-0.067,43.5,1973-01-01,2021-01-21,"082860-99999",-0.0011693705988362,0.697259036171735,5.55344335965475,"es1834a"
"080143","99999","VALENCIA","SP",NA,"LEBT",39.583,-0.45,50,2004-05-10,2021-01-21,"080143-99999",-0.00785398163397448,0.690853677816915,57.8690776941937,"es1834a"
"082850","99999","VALENCIA VIVEROS","SP",NA,NA,39.483,-0.383,11,1973-01-01,2021-01-20,"082850-99999",-0.00668461103513828,0.689108348564921,63.9968252759208,"es1834a"
"081600","99999","ZARAGOZA AB","SP",NA,"LEZG",41.666,-1.042,263,1973-01-01,2021-01-21,"081600-99999",-0.0181863308057809,0.727208886135957,15.1915626672097,"es1836a"
