"siteAQ","Municipio","countAQ","siteMto","dist","countMto","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","pwc","precip","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_12","precip_6"
"es1268a","Oviedo",419493,"080140-99999",26.812206078278,3789,0.999736078120876,0.883874373185537,0.999736078120876,0.998944312483505,0.998416468725257,0.998944312483505,0.998944312483505,0.299815254684613,0,0.6215360253365,0.918448139350752,0.0187384534177883,0,0.918448139350752,0.902348904724202,0.0187384534177883,0,0.362892583795197,0.158617049353391
"es1269a","Oviedo",440333,"080140-99999",24.7437693684874,3789,0.999736078120876,0.883874373185537,0.999736078120876,0.998944312483505,0.998416468725257,0.998944312483505,0.998944312483505,0.299815254684613,0,0.6215360253365,0.918448139350752,0.0187384534177883,0,0.918448139350752,0.902348904724202,0.0187384534177883,0,0.362892583795197,0.158617049353391
"es1269a","Oviedo",440333,"080150-99999",3.30485802174711,25861,0.999883995205135,0.998143923282162,0.999961331735045,0.999806658675225,0.984764703607749,0.991995669154325,0.991995669154325,0.144619310931519,0.180155446425119,0.00139205753837825,0.210278024825026,0.00027067785468466,3.86682649549515e-05,0.210278024825026,0.209968678705386,0.00027067785468466,3.86682649549515e-05,0.000386682649549515,0.000232009589729709
"es1269a","Oviedo",440333,"080110-99999",27.3504784741642,80388,0.999166542269991,0.867418022590436,0.998370403542817,0.322349106831865,0.359083445290342,0.997735980494601,0.997698661491765,0.455242075931731,0.0823132805891427,0.042481464895258,0.590013434841021,0.302557595661044,0.0893292531223566,0.590013434841021,0.591792307309549,0.302557595661044,0.0893292531223566,1.24396676120814e-05,0
"es1270a","Gijón",417665,"080150-99999",26.6079344280865,25861,0.999883995205135,0.998143923282162,0.999961331735045,0.999806658675225,0.984764703607749,0.991995669154325,0.991995669154325,0.144619310931519,0.180155446425119,0.00139205753837825,0.210278024825026,0.00027067785468466,3.86682649549515e-05,0.210278024825026,0.209968678705386,0.00027067785468466,3.86682649549515e-05,0.000386682649549515,0.000232009589729709
"es1270a","Gijón",417665,"080140-99999",4.87820055208496,3789,0.999736078120876,0.883874373185537,0.999736078120876,0.998944312483505,0.998416468725257,0.998944312483505,0.998944312483505,0.299815254684613,0,0.6215360253365,0.918448139350752,0.0187384534177883,0,0.918448139350752,0.902348904724202,0.0187384534177883,0,0.362892583795197,0.158617049353391
"es1270a","Gijón",417665,"080110-99999",30.5272874243526,80388,0.999166542269991,0.867418022590436,0.998370403542817,0.322349106831865,0.359083445290342,0.997735980494601,0.997698661491765,0.455242075931731,0.0823132805891427,0.042481464895258,0.590013434841021,0.302557595661044,0.0893292531223566,0.590013434841021,0.591792307309549,0.302557595661044,0.0893292531223566,1.24396676120814e-05,0
"es1271a","Gijón",429090,"080150-99999",24.9980976955496,25861,0.999883995205135,0.998143923282162,0.999961331735045,0.999806658675225,0.984764703607749,0.991995669154325,0.991995669154325,0.144619310931519,0.180155446425119,0.00139205753837825,0.210278024825026,0.00027067785468466,3.86682649549515e-05,0.210278024825026,0.209968678705386,0.00027067785468466,3.86682649549515e-05,0.000386682649549515,0.000232009589729709
"es1271a","Gijón",429090,"080110-99999",27.2305851477311,80388,0.999166542269991,0.867418022590436,0.998370403542817,0.322349106831865,0.359083445290342,0.997735980494601,0.997698661491765,0.455242075931731,0.0823132805891427,0.042481464895258,0.590013434841021,0.302557595661044,0.0893292531223566,0.590013434841021,0.591792307309549,0.302557595661044,0.0893292531223566,1.24396676120814e-05,0
"es1271a","Gijón",429090,"080140-99999",3.13694968970094,3789,0.999736078120876,0.883874373185537,0.999736078120876,0.998944312483505,0.998416468725257,0.998944312483505,0.998944312483505,0.299815254684613,0,0.6215360253365,0.918448139350752,0.0187384534177883,0,0.918448139350752,0.902348904724202,0.0187384534177883,0,0.362892583795197,0.158617049353391
