"site","process","variable","variable_long","period","unit","observation_count","Municipio","Población","Estación tráfico","site_name","latitude","longitude","elevation","country","site_type","site_area","date_start","date_end"
"es1137a",34321,"o3","Ozone (air)","hour","ug.m-3",55984,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34322,"o3","Ozone (air)","hour8","ug.m-3",56940,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34323,"no2","Nitrogen dioxide (air)","day","ug.m-3",2348,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34324,"no2","Nitrogen dioxide (air)","hour","ug.m-3",54364,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34332,"no","Nitrogen monoxide (air)","day","ug.m-3",1882,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34333,"no","Nitrogen monoxide (air)","hour","ug.m-3",43491,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34334,"no","Nitrogen monoxide (air)","day","ug.m-3",157,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1137a",34335,"no","Nitrogen monoxide (air)","hour","ug.m-3",3711,"Vigo",295364,"Arenal","ARENAL",42.219,-8.7421,53,"spain","traffic","urban",2005-06-30,2021-01-16 01:00:00
"es1160a",34392,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",1571,"Burgos",175821,"Burgos 1","BURGOS 1",42.35083,-3.67556,929,"spain","traffic","urban",2005-01-01,2021-01-16 00:00:00
"es1160a",34393,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",36920,"Burgos",175821,"Burgos 1","BURGOS 1",42.35083,-3.67556,929,"spain","traffic","urban",2005-01-01,2021-01-16 00:00:00
"es1160a",34394,"no2","Nitrogen dioxide (air)","day","ug.m-3",1584,"Burgos",175821,"Burgos 1","BURGOS 1",42.35083,-3.67556,929,"spain","traffic","urban",2005-01-01,2021-01-16 00:00:00
"es1160a",34395,"no2","Nitrogen dioxide (air)","hour","ug.m-3",37520,"Burgos",175821,"Burgos 1","BURGOS 1",42.35083,-3.67556,929,"spain","traffic","urban",2005-01-01,2021-01-16 00:00:00
"es1160a",34404,"no","Nitrogen monoxide (air)","day","ug.m-3",1216,"Burgos",175821,"Burgos 1","BURGOS 1",42.35083,-3.67556,929,"spain","traffic","urban",2005-01-01,2021-01-16 00:00:00
"es1160a",34405,"no","Nitrogen monoxide (air)","hour","ug.m-3",28721,"Burgos",175821,"Burgos 1","BURGOS 1",42.35083,-3.67556,929,"spain","traffic","urban",2005-01-01,2021-01-16 00:00:00
"es1160a",34406,"no","Nitrogen monoxide (air)","day","ug.m-3",364,"Burgos",175821,"Burgos 1","BURGOS 1",42.35083,-3.67556,929,"spain","traffic","urban",2005-01-01,2021-01-16 00:00:00
"es1160a",34407,"no","Nitrogen monoxide (air)","hour","ug.m-3",8628,"Burgos",175821,"Burgos 1","BURGOS 1",42.35083,-3.67556,929,"spain","traffic","urban",2005-01-01,2021-01-16 00:00:00
"es1161a",34412,"pm10","Particulate matter < 10 µm (aerosol)","day","ug.m-3",5071,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34413,"pm10","Particulate matter < 10 µm (aerosol)","hour","ug.m-3",120174,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34414,"o3","Ozone (air)","day","ug.m-3",4614,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34415,"o3","Ozone (air)","dymax","ug.m-3",4617,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34416,"o3","Ozone (air)","hour","ug.m-3",109648,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34417,"o3","Ozone (air)","hour8","ug.m-3",110345,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34418,"no2","Nitrogen dioxide (air)","day","ug.m-3",5734,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34419,"no2","Nitrogen dioxide (air)","hour","ug.m-3",136427,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34432,"no","Nitrogen monoxide (air)","day","ug.m-3",4640,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
"es1161a",34433,"no","Nitrogen monoxide (air)","hour","ug.m-3",110299,"León",124303,"BARRIO PINILLA","BARRIO PINILLA",42.60388888,-5.58722222,838,"spain","traffic","urban",1997-01-01,2021-01-16 01:00:00
