"date","variable","site","2013-2019.vs.2020"
2020-01-04,"no","Sevilla",-28.6424974143831
2020-01-04,"no","Tarrasa",-55.9325357913316
2020-01-04,"no","Valencia",-5.76935379216436
2020-01-04,"no","Valladolid",NA
2020-01-04,"no","Vigo",-54.0133192258808
2020-01-04,"no","Vitoria",-11.8886204836489
2020-01-04,"no","Zaragoza",-39.820785487645
2020-01-04,"no2","Alcalá de Henares",-9.78771091470377
2020-01-04,"no2","Alcobendas",-29.644921552436
2020-01-04,"no2","Alicante",21.6465081625418
2020-01-04,"no2","Almería",-37.1778356458352
2020-01-04,"no2","Barcelona",-17.8891933886358
2020-01-04,"no2","Bilbao",-21.0051208765035
2020-01-04,"no2","Burgos",-34.7906403940887
2020-01-04,"no2","Cádiz",-5.24089306698002
2020-01-04,"no2","Castellón de la Plana",-10.6231317544263
2020-01-04,"no2","Córdoba",-13.7939608754425
2020-01-04,"no2","Elche",-15.509857709538
2020-01-04,"no2","Getafe",-6.07869112164211
2020-01-04,"no2","Gijón",-25.1367099955177
2020-01-04,"no2","Girona",-35.170909421415
2020-01-04,"no2","Granada",-22.4925488254283
2020-01-04,"no2","Huelva",-51.9711002279009
2020-01-04,"no2","Las Palmas de Gran Canaria",-6.87059511317381
2020-01-04,"no2","Leganés",-2.47345956003066
2020-01-04,"no2","León",-25.4986090810505
2020-01-04,"no2","Lleida",-31.2716861898066
2020-01-04,"no2","Madrid",-39.6456199931561
2020-01-04,"no2","Málaga",-15.6706778163029
2020-01-04,"no2","Marbella",-17.5348784643011
2020-01-04,"no2","Ourense",-40.0047747888748
2020-01-04,"no2","Oviedo",-12.3049052396878
2020-01-04,"no2","Palma",-13.0289286683078
2020-01-04,"no2","Pamplona",-33.1272829446474
2020-01-04,"no2","Sabadell",-24.8194800367126
2020-01-04,"no2","Salamanca",-35.8379014436185
2020-01-04,"no2","San Sebastián",-4.32468396540253
2020-01-04,"no2","Santander",-1.58645867905742
2020-01-04,"no2","Sevilla",-18.8665216696431
2020-01-04,"no2","Tarrasa",-50.1480750246792
2020-01-04,"no2","Valencia",-5.06427400569408
2020-01-04,"no2","Valladolid",NA
2020-01-04,"no2","Vigo",-6.84104370471255
2020-01-04,"no2","Vitoria",-23.8283538371412
2020-01-04,"no2","Zaragoza",-19.3538218549552
2020-01-04,"o3","Alcalá de Henares",-19.7255645294215
2020-01-04,"o3","Alcobendas",7.80106033829841
2020-01-04,"o3","Alicante",-18.135593220339
2020-01-04,"o3","Almería",1.30416464900293
2020-01-04,"o3","Barcelona",0
2020-01-04,"o3","Cádiz",-31.8791251072898
2020-01-04,"o3","Castellón de la Plana",-31.8719369273386
2020-01-04,"o3","Elche",-28.3057691813061
2020-01-04,"o3","Getafe",-27.5056796086698
2020-01-04,"o3","Gijón",23.4534432772318
2020-01-04,"o3","Las Palmas de Gran Canaria",30.8481963640535
2020-01-04,"o3","Leganés",-42.2380019588639
2020-01-04,"o3","Lleida",-10.0478468899522
2020-01-04,"o3","Madrid",20.2399948026444
2020-01-04,"o3","Marbella",-87.419945105215
2020-01-04,"o3","Ourense",45.0680660126245
2020-01-04,"o3","Oviedo",0.626495044993742
2020-01-04,"o3","Palma",-0.450948693950483
2020-01-04,"o3","Pamplona",59.8949211908931
2020-01-04,"o3","Sabadell",-36.318407960199
2020-01-04,"o3","San Sebastián",35.5561023622047
2020-01-04,"o3","Sevilla",-17.197676465411
2020-01-04,"o3","Tarrasa",1.38613861386139
2020-01-04,"o3","Valencia",-36.4491832863746
2020-01-04,"o3","Valladolid",NA
2020-01-04,"o3","Vigo",-51.906891191389
2020-01-04,"o3","Zaragoza",23.0023240086671
2020-01-04,"pm10","Alcalá de Henares",-33.7902673063742
2020-01-04,"pm10","Alcobendas",-48.7198986058302
2020-01-04,"pm10","Bilbao",-45.2733494010725
2020-01-04,"pm10","Burgos",12.7161383285303
2020-01-04,"pm10","Getafe",-33.8023263913074
2020-01-04,"pm10","Gijón",-28.5190926828367
2020-01-04,"pm10","Huelva",-26.3563165083125
2020-01-04,"pm10","Las Palmas de Gran Canaria",-61.7181041516355
2020-01-04,"pm10","Leganés",-12.0705432160386
2020-01-04,"pm10","León",2.90299533405725
2020-01-04,"pm10","Madrid",-56.969281575176
2020-01-04,"pm10","Marbella",-0.71584656381765
2020-01-04,"pm10","Ourense",-10.7147620173442
2020-01-04,"pm10","Oviedo",-31.1339156977651
2020-01-04,"pm10","Palma",9.81561822125814
2020-01-04,"pm10","Pamplona",-45.2811402819263
2020-01-04,"pm10","Salamanca",-63.5802957223057
2020-01-04,"pm10","San Sebastián",-13.5143669087465
2020-01-04,"pm10","Santander",-18.8758334600265
2020-01-04,"pm10","Valencia",40.2121157648751
2020-01-04,"pm10","Valladolid",NA
2020-01-04,"pm10","Vigo",-41.8531423571286
2020-01-04,"pm10","Vitoria",-27.9167398902622
2020-01-04,"pm10","Zaragoza",-50.569522422984
2020-01-04,"pm2.5","Bilbao",-45.721245498835
2020-01-04,"pm2.5","Gijón",-17.6470588235294
2020-01-04,"pm2.5","Las Palmas de Gran Canaria",-58.9107044459267
2020-01-04,"pm2.5","Madrid",-41.8650937251212
2020-01-04,"pm2.5","Ourense",-19.994270977943
2020-01-04,"pm2.5","Oviedo",NA
2020-01-04,"pm2.5","San Sebastián",-13.5533294048321
