"site","Pollutant","start_yr","end_yr","hv.min","mss.wk","mss.mnth","mss.yr"
"es1096a","pm10",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1096a","o3",2013-01-01,2020-12-30,TRUE,-1,0,0
"es1096a","no2",2013-01-01,2020-12-30,TRUE,0,0,0
"es1096a","no",2013-01-01,2020-12-30,TRUE,0,0,0
"es1047a","pm10",2013-01-01,2020-12-30,TRUE,3,0,0
"es1047a","o3",2013-01-01,2020-12-30,TRUE,3,0,0
"es1047a","no2",2013-01-01,2020-12-30,TRUE,3,0,0
"es1047a","no",2013-01-01,2020-12-30,TRUE,3,0,0
"es1018a","pm10",2013-01-03,2018-12-27,FALSE,105,24,2
"es1018a","o3",2013-01-01,2020-12-30,TRUE,259,60,5
"es1018a","no2",2013-01-01,2020-12-30,TRUE,0,0,0
"es1018a","no",2013-01-01,2020-12-30,TRUE,0,0,0
"es0890a","pm2.5",2013-01-01,2018-12-23,FALSE,206,26,2
"es0890a","pm10",2013-01-03,2018-12-06,FALSE,120,24,2
"es0890a","o3",2013-01-01,2020-12-30,TRUE,5,0,0
"es0890a","no2",2013-02-12,2020-12-30,TRUE,9,1,0
"es0890a","no",2013-02-12,2020-12-30,TRUE,9,1,0
"es0817a","no2",2013-01-01,2020-12-30,TRUE,2,0,0
"es0817a","no",2013-01-01,2020-12-30,TRUE,2,0,0
"es0120a","no2",2013-01-01,2020-12-30,TRUE,-1,0,0
"es0120a","no",2013-01-01,2020-12-30,TRUE,-1,0,0
"es0118a","pm2.5",2013-01-01,2020-12-30,TRUE,4,0,0
"es0118a","pm10",2013-01-01,2020-12-30,TRUE,3,0,0
"es0118a","o3",2013-01-01,2020-12-30,TRUE,0,0,0
"es0118a","no2",2013-01-01,2020-12-30,TRUE,0,0,0
"es0118a","no",2013-01-01,2020-12-30,TRUE,0,0,0
"es0115a","no2",2013-01-01,2020-12-30,TRUE,6,0,0
"es0115a","no",2013-01-01,2020-12-30,TRUE,6,0,0
"es0110a","pm2.5",2014-04-30,2020-12-30,TRUE,68,15,1
"es0110a","pm10",2014-04-30,2020-12-30,TRUE,68,15,1
"es0110a","no2",2014-01-01,2020-12-30,TRUE,65,15,1
"es0110a","no",2014-01-01,2020-12-30,TRUE,65,15,1
"es0041a","pm2.5",2020-02-27,2020-12-30,FALSE,374,85,7
"es0041a","pm10",2017-01-01,2020-12-30,TRUE,210,48,4
"es0041a","no2",2017-01-01,2020-12-30,TRUE,213,48,4
