"code","date","ws","wd","atmos_pres"
"081810-99999",2015-06-11,6.159375,50.4942495914534,1012.31666666667
"081810-99999",2015-06-12,4.87222222222222,244.416856720617,1010.04166666667
"081810-99999",2015-06-13,3.82777777777778,85.3828283132397,1011.19166666667
"081810-99999",2015-06-14,4.21666666666667,232.821193742228,1010.91666666667
"081810-99999",2015-06-15,3.290625,73.9533939273642,1015.7375
"081810-99999",2015-06-16,3.44444444444444,297.092730069272,1018.4375
"081810-99999",2015-06-17,3.98888888888889,248.335641618444,1019.7875
"081810-99999",2015-06-18,4.54097222222222,236.138212579948,1019.02083333333
"081810-99999",2015-06-19,3.01111111111111,130.109533005999,1016.85416666667
"081810-99999",2015-06-20,4.09583333333333,225.547418787084,1018.05
"081810-99999",2015-06-21,3.6125,217.954210020241,1018.85
"081810-99999",2015-06-22,4.85555555555556,229.595661872622,1015.73333333333
"081810-99999",2015-06-23,3.56777777777778,162.080311198748,1012.94166666667
"081810-99999",2015-06-24,3.27638888888889,146.496625400802,1018.26666666667
"081810-99999",2015-06-25,3.20416666666667,96.0832825116961,1021.47916666667
"081810-99999",2015-06-26,4.17638888888889,219.619292943119,1020.37083333333
"081810-99999",2015-06-27,3.07430555555556,178.560632969823,1018.94347826087
"081810-99999",2015-06-28,2.22083333333333,150.843440050536,1018.81428571429
"081810-99999",2015-06-29,3.76875,231.936498464088,1019.81818181818
"081810-99999",2015-06-30,3.44027777777778,231.834588636193,1017.45294117647
"081810-99999",2015-07-01,4.15416666666667,59.9674764105057,1017.72916666667
"081810-99999",2015-07-02,5.19027777777778,57.2224010121789,1020.4875
"081810-99999",2015-07-03,3.40555555555556,60.3549969216079,1022.775
"081810-99999",2015-07-04,3.35416666666667,232.231619643583,1021.29565217391
"081810-99999",2015-07-05,4.69305555555556,237.995048189653,1018.41666666667
"081810-99999",2015-07-06,5.06527777777778,237.009145294853,1018.38260869565
"081810-99999",2015-07-07,4.90833333333333,220.829183335422,1015.05
"081810-99999",2015-07-08,3.39027777777778,143.451473194734,1015.21304347826
"081810-99999",2015-07-09,4.84166666666667,230.666119401272,1016.64583333333
