"date","Municipio","diff"
2020-01-17,"Zaragoza",18.4063295208421
2020-01-18,"Alcalá de Henares",1.41315516600616
2020-01-18,"Alcobendas",-2.81400085745674
2020-01-18,"Alicante",103.871733558587
2020-01-18,"Almería",7.71011841470042
2020-01-18,"Barcelona",-38.4150018476369
2020-01-18,"Bilbao",-11.2933314262407
2020-01-18,"Burgos",-12.0067194065738
2020-01-18,"Castellón de la Plana",12.2575561729147
2020-01-18,"Elche",11.5731233857263
2020-01-18,"Gijón",3.51616979784807
2020-01-18,"Girona",5.90075938837563
2020-01-18,"Granada",32.0939566726782
2020-01-18,"Huelva",-36.5421226628122
2020-01-18,"León",2.00402359801378
2020-01-18,"Lleida",-27.2727723088959
2020-01-18,"Madrid",3.88133190367554
2020-01-18,"Málaga",3.36003378202796
2020-01-18,"Ourense",-34.0345770756024
2020-01-18,"Oviedo",-9.48331095388294
2020-01-18,"Palma",40.4385446681655
2020-01-18,"Pamplona",-31.9720890296665
2020-01-18,"Sabadell",-53.8276119640463
2020-01-18,"Salamanca",-19.7732495363096
2020-01-18,"San Sebastián",-27.3554817749328
2020-01-18,"Santander",-34.1234670874316
2020-01-18,"Sevilla",-52.9175673900628
2020-01-18,"Tarrasa",-50.8492587196847
2020-01-18,"Valencia",-17.8664605307117
2020-01-18,"Valladolid",-4.11909251713471
2020-01-18,"Vigo",-39.749830687647
2020-01-18,"Vitoria",-26.8485306651638
2020-01-18,"Zaragoza",-3.30930334210415
2020-01-19,"Alcalá de Henares",9.05915901042488
2020-01-19,"Alcobendas",-32.9147181560846
2020-01-19,"Alicante",6.20522434268984
2020-01-19,"Almería",-55.6170983876313
2020-01-19,"Barcelona",-17.1660657442808
2020-01-19,"Bilbao",-59.7347367222733
2020-01-19,"Burgos",219.536825530527
2020-01-19,"Castellón de la Plana",129.913021244643
2020-01-19,"Elche",-22.5109681479308
2020-01-19,"Gijón",-54.947512484854
2020-01-19,"Girona",-16.5798305344748
2020-01-19,"Granada",-42.7566889423692
2020-01-19,"Huelva",-70.0936097249456
2020-01-19,"León",-9.17193180615968
2020-01-19,"Lleida",-45.9674151061067
2020-01-19,"Madrid",-8.28714927910765
2020-01-19,"Málaga",20.4926815305092
2020-01-19,"Ourense",-67.2265194662865
2020-01-19,"Oviedo",-35.259561593164
2020-01-19,"Palma",3.05174078171351
2020-01-19,"Pamplona",-24.4818625349455
2020-01-19,"Sabadell",-76.3919865524836
2020-01-19,"Salamanca",-33.61716673543
2020-01-19,"San Sebastián",-59.9945140068092
2020-01-19,"Santander",-13.7297244235063
2020-01-19,"Sevilla",-60.8801130596419
2020-01-19,"Tarrasa",-80.3741318187474
2020-01-19,"Valencia",-47.1994433611825
2020-01-19,"Valladolid",-9.68228248682114
2020-01-19,"Vigo",-47.0413214198849
2020-01-19,"Vitoria",-8.67930338992585
2020-01-19,"Zaragoza",-7.16344219523306
2020-01-20,"Alcalá de Henares",26.8440012565993
2020-01-20,"Alcobendas",-13.7227932254633
2020-01-20,"Alicante",70.0264848413556
2020-01-20,"Almería",-39.9684658641288
2020-01-20,"Barcelona",-11.4728277698323
2020-01-20,"Bilbao",-35.1397901712075
2020-01-20,"Burgos",74.8782940318144
2020-01-20,"Castellón de la Plana",33.695652173913
2020-01-20,"Elche",14.5568656205279
2020-01-20,"Gijón",-30.550074337136
2020-01-20,"Girona",-40.0326510041817
2020-01-20,"Granada",-57.1193483205565
2020-01-20,"Huelva",-31.7866660497351
2020-01-20,"Leganés",33.807586990706
2020-01-20,"León",11.9633350803672
2020-01-20,"Lleida",-9.03246478510261
