"site","start_dt","end_dt","ws","wd","air_temp","atmos_pres","visibility","dew_point","RH","ceil_hgt","cl_1","cl_2","cl_3","cl","cl_1_height","cl_2_height","cl_3_height","precip_6","precip","precip_12","pwc"
"080850-99999",2013-01-01,2020-12-31,0.946403103428604,0.868560670888242,0.945476068229791,0.725840036510925,0.783858177876662,0.945504592389754,0.945461806149809,0.501768497917736,0.662901477551486,0.315448685036226,0.0838039819727309,0.663857036910263,0.665268982828456,0.312239717040333,0.0837897198927492,0.0400479205887387,0.13064065263278,0.0400479205887387,0
"080840-99999",2013-01-01,2020-12-31,0.996563426876569,0.914812913529546,0.996677503992699,0.983886607346566,0.470339949806069,0.996720282911248,0.996549167237052,0.44314681724846,0.612750969655487,0.252110426648414,0.0319701117955738,0.613506730549852,0.611011293634497,0.247419005247547,0.0319558521560575,0.0296030116358658,0.183093771389459,0.04072553045859,0
"080800-99999",2013-01-01,2020-12-31,0.9979893908282,0.853667579283596,0.997661419119325,0.725145448323066,0.527906114533425,0.997647159479808,0.997647159479808,0.617756103125713,0.832164042892996,0.42729009810632,0.0663786219484371,0.832862765229295,0.818374971480721,0.424438170203057,0.0663643623089208,0.039356605065024,0.2305070727812,0.0396988364134155,0
"080750-99999",2013-01-01,2020-12-31,0.82693432635649,0.791279658719628,0.826791650615646,NA,0.385695330223002,0.82680591818973,0.826691777597055,0.487280457703777,0.55376735293698,0.202628087146343,0.0382799012683873,0.554566337085705,0.555850418753299,0.198461955513704,0.0382799012683873,0.122501391088473,0.253135299405042,0.465179985447074,0
"080550-99999",2013-01-01,2020-12-31,0.941367752977252,0.888854025529487,0.940854310775155,Inf,0.400984097554018,0.940711687941239,0.940554802823932,0.340996933609071,0.460956999215574,0.132211367039863,0.02360407901305,0.461627326534978,0.465264208799829,0.128574484775012,0.02360407901305,0.0476645510946302,0.117963345931684,0.012964415602938,0
"080530-99999",2013-01-01,2020-12-31,0.66641937969013,0.645832738893486,0.66736097240848,0.66726110651411,0.661169286957514,0.666462179359146,0.666462179359146,0.02292635603618,0.0684794704254287,0.0125831026906725,NA,0.0726738379889862,0.0577510200587782,NA,NA,0.0211002368248352,0.528418980226553,0.0304733643393158,0
"080450-99999",2013-01-01,2020-12-31,0.998003650467716,0.958975017111567,0.997604380561259,0.980892083048141,0.640457449235683,0.997590120921743,0.997590120921743,0.536946725986767,0.635851585671914,0.330167693360712,0.104494638375542,0.636165297741273,0.633427446954141,0.328328199863107,0.104480378736026,0.0396988364134155,0.17848790782569,0.040041067761807,0
"080440-99999",2013-01-01,2020-12-31,0.711465495107409,0.69571791287479,0.713405414657804,0.708313125838017,0.705403246512424,0.710438478874847,0.710438478874847,0.0797791915099991,0.133383733204005,0.0179727840698371,NA,0.139374661227284,0.124953641628391,NA,NA,0.0306535817191111,0.145394117479246,0.0412518186745785,0
"080420-99999",2013-01-01,2020-12-31,0.997732717316906,0.9159964636094,0.997732717316906,0.614761578827287,0.754933835272644,0.99771845767739,0.99771845767739,0.632685945699293,0.76438797627196,0.460486538900297,0.164399383983573,0.764601870864705,0.765756901665526,0.459245950262377,0.164399383983573,0.0379876796714579,0.140671343828428,0.0376454483230664,0
"080290-99999",2013-01-01,2020-12-31,0.874156598148439,0.691853415688344,0.874042480350342,0.578834001397943,0.424675120893542,0.873985421451293,0.873971156726531,0.522602456385604,0.596265495057273,0.344878250574155,0.118069126856197,0.59871902771636,0.585509892586623,0.341540304979815,0.118040597406673,0.176483174757143,0.115743976719969,0.166169778754119,0
"080270-99999",2013-01-01,2021-01-01,0.981878065472796,0.970457397057146,0.982091935667845,0.982134709706855,0.982134709706855,0.977857305805863,0.977814531766853,0.456826736625984,0.808044370936466,0.0238679137675374,NA,0.831570092391924,0.749572259609901,0.000684384624158777,NA,0.546395574312764,0.699227215695221,0.591650507585263,0
"080250-99999",2013-01-01,2020-12-31,0.936660296089226,0.816227857489232,0.936317996405853,0.728955700715977,0.467253330290669,0.936289471432239,0.936289471432239,0.552628576318567,0.682545568645349,0.436988333285792,0.16705650797273,0.684385429443478,0.665202384687794,0.433921898622244,0.167027982999116,0.039706763271244,0.232093447813561,0.0403913626379896,0
"080230-99999",2013-01-01,2020-12-31,0.778451140041923,0.777624092743373,0.779463560010837,0.779092814670108,0.76412040667912,0.779149852414835,0.779149852414835,0.123272825792468,0.261461021831197,0.0327254060374453,0.0227152818377561,0.271513924339432,0.238374994652711,0.00265225512983217,0.0176674414293659,0.0753040824765789,0.154443953286087,0.0419084829385846,0
"080210-99999",2013-01-01,2020-12-31,0.930798414011467,0.82616881079385,0.930712839090624,0.70826083235873,0.526100350857175,0.930684314117009,0.930655789143395,0.597555409761246,0.662506774681233,0.396882220383946,0.119548164417948,0.663533673731352,0.64627606469464,0.393872835667627,0.119533901931141,0.039706763271244,0.230139487120974,0.0393644635878712,0
"080150-99999",2013-01-01,2020-12-31,0.777096493604643,0.770494374652426,0.77715353134937,0.776782786008641,0.767072109968772,0.771963096579161,0.771963096579161,0.0993740107516149,0.229077842262117,0.0376021332116528,1.57278729199047,0.24129817907,0.203867159092529,0.000941122788004962,1.57278729199047,0.0756605683811262,0.17088508320381,0.0417801480129476,0
"080144-99999",2013-01-01,2020-12-31,0.438750142873471,0.296719625100011,0.438893016344725,NA,0.134043890730369,0.438407246542462,0.438264373071208,0.114570236598468,0.198822722596868,0.0887101383015202,0.0169019316493314,0.198822722596868,0.198779860555492,0.0887101383015202,0.0169019316493314,0,0,0,0
"080143-99999",2013-05-06,2020-12-31,0.854941703466023,0.622232105982146,0.854830511166884,NA,0.220780252247673,0.854814626552721,0.854782857324396,0.502589192108524,0.205435714966483,0.0656193411062045,0.0165199987292309,0.205419830352321,0.205435714966483,0.0656193411062045,0.0165199987292309,0,0,0,0
"080140-99999",2013-01-01,2020-12-21,0.484407454626194,0.424329241215316,0.484536377830939,0.484407454626194,0.484321505823031,0.484407454626194,0.484407454626194,0.0886561904625478,0.400779269148677,0.0345943932730737,Inf,0.428454783767136,0.360426306063688,0.00696185305619619,NA,0.190548496612185,0.374693807388732,0.775773897348479,0
"080110-99999",2013-01-01,2020-12-31,0.904450149764656,0.830937098844673,0.903779774639852,0.618513764085009,0.500271002710027,0.903722721437741,0.903722721437741,0.603865354443018,0.736899158465269,0.43695621166738,0.119854514334617,0.737327057481101,0.741106832120953,0.434246184567109,0.119825987733562,0.0393667094565682,0.125188988731993,0.0397090286692341,0
"080020-99999",2013-01-01,2020-12-31,0.944701117955738,0.85485112936345,0.944515742642026,0.529888204426192,0.648699520876112,0.944487223362993,0.944487223362993,0.498017910107233,0.673054985169975,0.31586527492585,0.0689310974218572,0.673054985169975,0.673054985169975,0.31586527492585,0.0689310974218572,0,0.205723819301848,0,0
"080010-99999",2013-01-01,2020-12-31,0.778337064552468,0.774800724379358,0.778322805116286,0.778094654137375,0.77052289352479,0.778237248499194,0.778222989063012,0.10543427112892,0.18910864264427,0.0273353391606896,NA,0.198163384619772,0.161559411940852,0.00462005732293345,NA,0.0658500762879836,0.501932153602647,0.0396269731494817,0
"077490-99999",2013-01-01,2020-12-31,0.916920970823946,0.880728973561874,0.922496648889142,0.854105467301714,0.167612583064769,0.9183469754442,0.9183469754442,0.103627755753929,0.149530844479936,0.0427801386076491,0.00440635427658786,0.149530844479936,0.149117303140062,0.0428229187462567,0.00436357413798021,0,0.918133074751162,0,0
"076000-99999",2013-01-01,2020-12-31,0.976185722841742,0.963437241536663,0.976014602287311,0.975986082194906,0.225907651940792,0.97500213900693,0.97500213900693,0.168938767361606,0.202478396030003,0.0652397113766649,0.00426375381456236,0.202478396030003,0.201865214043293,0.0652397113766649,0.00426375381456236,0,0.972278470182243,0,0
